state,state_code,pollster,sponsor,sponsor_lean,date_start,date_end,dem_candidate,rep_candidate,dem_pct,rep_pct,margin,margin_label,included_in_average,notes
Florida,FL,Cherry Communications,Florida Chamber of Commerce,Republican,2026-05-01,2026-05-09,Alexander Vindman,Ashley Moody,40.0,48.0,R+8,R+8,no,n=604 LV; NYT data; Alexander Vindman is not the nominee — Nixon won the Aug 18 primary 56-44
Florida,FL,Change Research,Freedom Project USA,,2026-05-13,2026-05-16,Alexander Vindman,Ashley Moody,47.0,45.0,D+2,D+2,no,n=1593 LV; NYT data; Alexander Vindman is not the nominee — Nixon won the Aug 18 primary 56-44
Florida,FL,Global Strategy Group,,Democratic,2026-05-18,2026-05-21,Alexander Vindman,Ashley Moody,43.0,46.0,R+3,R+3,no,n=1000 lv; D-sponsored; NYT data; Alexander Vindman is not the nominee — Nixon won the Aug 18 primary 56-44
Florida,FL,Change Research,Freedom Project USA,,2026-06-11,2026-06-14,Alexander Vindman,Ashley Moody,46.0,46.0,Even,Even,no,n=1015 lv; NYT data; Alexander Vindman is not the nominee — Nixon won the Aug 18 primary 56-44
Florida,FL,Change Research,Freedom Project USA,,2026-06-11,2026-06-14,Alexander Vindman,Ashley Moody,42.0,46.0,R+4,R+4,no,n=1273 rv; RV version — use LV version instead; NYT data
Florida,FL,University of North Florida,,,2026-07-08,2026-07-17,Angie Nixon,Ashley Moody,41.6,50.0,R+8.4,R+8.4,yes,n=848 lv; NYT data
Florida,FL,University of North Florida,,,2026-07-08,2026-07-17,Alexander Vindman,Ashley Moody,40.2,49.9,R+9.7,R+9.7,no,n=848 lv; NYT data; Alexander Vindman is not the nominee — Nixon won the Aug 18 primary 56-44
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Buddy Carter,45,32,D+13,Ossoff +13,yes,n=500 LV; R-sponsored; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Mike Collins,44,34,D+10,Ossoff +10,yes,n=500 LV; R-sponsored; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,John King,47,31,D+16,Ossoff +16,yes,n=500 LV; R-sponsored; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Rich McCormick,44,33,D+11,Ossoff +11,no,n=500 LV; R-sponsored; McCormick unlikely nominee; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Brian Kemp,40,46,R+6,Kemp +6,no,n=500 LV; R-sponsored; Kemp unlikely nominee; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Brad Raffensperger,46,32,D+14,Ossoff +14,no,n=500 LV; R-sponsored; Raffensperger unlikely nominee; NYT data
Georgia,GA,The Tyson Group,,,2025-01-30,2025-01-31,Jon Ossoff,Buddy Carter,47,39,D+8,Ossoff +8,yes,n=600 LV; NYT data
Georgia,GA,The Tyson Group,,,2025-01-30,2025-01-31,Jon Ossoff,Marjorie Taylor Greene,51,39,D+12,Ossoff +12,no,n=600 LV; MTG unlikely nominee; NYT data
Georgia,GA,The Tyson Group,,,2025-01-30,2025-01-31,Jon Ossoff,Brian Kemp,42,49,R+7,Kemp +7,no,n=600 LV; Kemp unlikely nominee; NYT data
Georgia,GA,Quantus Insights,TrendingPolitics,Republican,2025-02-11,2025-02-13,Jon Ossoff,Brian Kemp,45,48,R+4,Kemp +4,no,n=800 RV; R-sponsored; Kemp unlikely nominee; NYT data
Georgia,GA,University of Georgia,Atlanta Journal-Constitution,,2025-04-15,2025-04-24,Jon Ossoff,Brian Kemp,46,49,R+3,Kemp +3,no,n=1000 RV; Kemp unlikely nominee; NYT data
Georgia,GA,University of Georgia,Atlanta Journal-Constitution,,2025-04-15,2025-04-24,Jon Ossoff,Marjorie Taylor Greene,54,37,D+17,Ossoff +17,no,n=1000 RV; MTG unlikely nominee; NYT data
Georgia,GA,University of Georgia,Atlanta Journal-Constitution,,2025-04-15,2025-04-24,Jon Ossoff,John King,51,38,D+13,Ossoff +13,yes,n=1000 RV; NYT data
Georgia,GA,University of Georgia,Atlanta Journal-Constitution,,2025-04-15,2025-04-24,Jon Ossoff,Brad Raffensperger,48,39,D+10,Ossoff +10,no,n=1000 RV; Raffensperger unlikely nominee; NYT data
Georgia,GA,Trafalgar Group,,,2025-04-24,2025-04-27,Jon Ossoff,Mike Collins,48,43,D+5,Ossoff +5,yes,n=1426 LV; NYT data
Georgia,GA,Trafalgar Group,,,2025-04-24,2025-04-27,Jon Ossoff,Marjorie Taylor Greene,48,37,D+12,Ossoff +12,no,n=1426 LV; MTG unlikely nominee; NYT data
Georgia,GA,Trafalgar Group,,,2025-04-24,2025-04-27,Jon Ossoff,Brad Raffensperger,46,38,D+9,Ossoff +9,no,n=1426 LV; Raffensperger unlikely nominee; NYT data
Georgia,GA,Cygnal Political,Democracy Defense Project,,2025-05-15,2025-05-17,Jon Ossoff,Buddy Carter,46,42,D+4,Ossoff +4,yes,n=800 RV; NYT data
Georgia,GA,Cygnal Political,Democracy Defense Project,,2025-05-15,2025-05-17,Jon Ossoff,Mike Collins,46,43,D+2,Ossoff +2,yes,n=800 RV; NYT data
Georgia,GA,Cygnal Political,Democracy Defense Project,,2025-05-15,2025-05-17,Jon Ossoff,Kelly Loeffler,46,43,D+4,Ossoff +4,no,n=800 RV; Loeffler unlikely nominee; NYT data
Georgia,GA,Cygnal Political,Democracy Defense Project,,2025-05-15,2025-05-17,Jon Ossoff,Brad Raffensperger,44,44,Even,Tied,no,n=800 RV; Raffensperger unlikely nominee; NYT data
Georgia,GA,Cygnal Political,Democracy Defense Project,,2025-05-15,2025-05-17,Jon Ossoff,John King,45,42,D+3,Ossoff +3,yes,n=800 RV; NYT data
Georgia,GA,Cygnal Political,,Republican,2025-06-16,2025-06-18,Jon Ossoff,John King,50,40,D+10,Ossoff +10,yes,n=610 LV; R-sponsored; NYT data
Georgia,GA,TIPP Insights,League of American Workers,Republican,2025-07-28,2025-08-01,Jon Ossoff,Buddy Carter,45,43,D+2,Ossoff +2,yes,n=2395 LV; R-sponsored; NYT data
Georgia,GA,TIPP Insights,League of American Workers,Republican,2025-07-28,2025-08-01,Jon Ossoff,Derek Dooley,45,42,D+3,Ossoff +3,yes,n=2395 LV; R-sponsored; NYT data
Georgia,GA,TIPP Insights,League of American Workers,Republican,2025-07-28,2025-08-01,Jon Ossoff,Mike Collins,45,44,D+1,Ossoff +1,yes,n=2395 LV; R-sponsored; NYT data
Georgia,GA,Quantus Insights,,,2025-09-09,2025-09-12,Jon Ossoff,Buddy Carter,40,37,D+3,Ossoff +3,yes,n=624 RV; NYT data
Georgia,GA,Quantus Insights,,,2025-09-09,2025-09-12,Jon Ossoff,Derek Dooley,42,35,D+7,Ossoff +7,yes,n=624 RV; NYT data
Georgia,GA,Quantus Insights,,,2025-09-09,2025-09-12,Jon Ossoff,Mike Collins,38,38,Even,Tied,yes,n=624 RV; NYT data
Georgia,GA,Emerson College,Nexstar,,2026-02-28,2026-03-02,Jon Ossoff,Buddy Carter,47,44,D+3,Ossoff +3,yes,n=1000 LV; NYT data
Georgia,GA,Emerson College,Nexstar,,2026-02-28,2026-03-02,Jon Ossoff,Derek Dooley,49,41,D+8,Ossoff +8,yes,n=1000 LV; NYT data
Georgia,GA,Emerson College,Nexstar,,2026-02-28,2026-03-02,Jon Ossoff,Mike Collins,48,43,D+4,Ossoff +4,yes,n=1000 LV; NYT data
Georgia,GA,Echelon Insights,NetChoice,,2026-04-03,2026-04-09,Jon Ossoff,Mike Collins,51.0,44.0,D+7,D+7,yes,n=407 LV; NYT data
Georgia,GA,Fabrizio Ward/Impact Research,AARP,,2026-07-13,2026-07-16,Jon Ossoff,Mike Collins,52.0,43.0,D+9,D+9,yes,n=1060 lv; NYT data
Georgia,GA,Wick,,,2026-06-27,2026-06-30,Jon Ossoff,Mike Collins,46.7,42.9,D+3.8,D+3.8,yes,n=1175 lv; NYT data
Georgia,GA,Beacon Research/Shaw & Company Research,Fox News,,2026-06-23,2026-06-27,Jon Ossoff,Mike Collins,56.0,43.0,D+13,D+13,yes,n=1002 rv; NYT data
Iowa,IA,Public Policy Polling,Senate Majority PAC,Democratic,2025-06-02,2025-06-03,Generic Democrat,Joni K. Ernst,43.0,45.0,R+2,R+2,yes,n=568 RV; NYT data
Iowa,IA,PPP,,Democratic,2025-08-18,2025-08-19,Zach Wahls,Joni Ernst,45,43,D+2,Wahls +2,no,Pre-retirement Ernst matchup; D-sponsored; NYT data
Iowa,IA,Public Policy Polling,,Democratic,2025-08-18,2025-08-19,Josh Turek,Joni K. Ernst,43.0,44.0,R+1,R+1,yes,n=572 RV; NYT data
Iowa,IA,Change Research,,,2026-01-08,2026-01-11,Nathan Sage,Ashley Hinson,41,44,R+3,Hinson +3,yes,n=1108 LV; all 3 D candidates tested identically; NYT data
Iowa,IA,Change Research,,,2026-01-08,2026-01-11,Zach Wahls,Ashley Hinson,41,44,R+3,Hinson +3,yes,n=1108 LV; NYT data
Iowa,IA,Change Research,,,2026-01-08,2026-01-11,Josh Turek,Ashley Hinson,41,44,R+3,Hinson +3,yes,n=1108 LV; NYT data
Iowa,IA,GBAO,ModSquad,Democratic,2026-03-10,2026-03-16,Zach Wahls,Ashley Hinson,44.0,47.0,R+3,R+3,yes,n=1200 LV; NYT data
Iowa,IA,Echelon Insights,NetChoice,,2026-04-03,2026-04-09,Josh Turek,Ashley Hinson,46.0,45.0,D+1,D+1,yes,n=377 LV; NYT data
Iowa,IA,Public Policy Polling,Democratic Senatorial Campaign Committee,Democratic,2026-06-03,2026-06-04,Josh Turek,Ashley Hinson,46.0,46.0,Even,Even,yes,n=557 rv; D-sponsored; NYT data
Iowa,IA,Global Strategy Group,,Democratic,2026-06-08,2026-06-11,Josh Turek,Ashley Hinson,47.0,45.0,D+2,D+2,yes,n=1000 lv; D-sponsored; NYT data
Iowa,IA,Global Strategy Group,,Democratic,2026-06-08,2026-06-11,Generic Democrat,Generic Republican,45.0,47.0,R+2,R+2,no,n=1000 lv; generic ballot — excluded from named-candidate average; NYT data
Iowa,IA,Cygnal,Iowans for Tax Relief Foundation,Republican,2026-06-16,2026-06-19,Josh Turek,Ashley Hinson,44.2,46.0,R+1.8,R+1.8,yes,n=600 lv; R-sponsored; NYT data
Iowa,IA,Beacon Research/Shaw & Company Research,Fox News,,2026-06-23,2026-06-27,Josh Turek,Ashley Hinson,50.0,46.0,D+4,D+4,yes,n=1003 rv; NYT data
Iowa,IA,The New York Times/Siena University,,,2026-06-15,2026-06-27,Josh Turek,Ashley Hinson,46.01,48.48,R+2.5,R+2.5,yes,n=600 lv; NYT data
Kansas,KS,Tavern Research,,,2026-01-26,2026-01-28,Patrick Schmidt,Roger Marshall,46.0,54.0,R+8,R+8,yes,n=1013 LV; NYT data
Kansas,KS,GQR,,Democratic,2026-04-23,2026-04-27,Patrick Schmidt,Roger Marshall,45.0,49.0,R+4,R+4,yes,n=500 LV; NYT data
Kentucky,KY,Public Policy Polling,Charles Booker,Democratic,2025-12-18,2025-12-19,Charles Booker,Daniel Cameron,39,46,R+7,Cameron +7,yes,D-sponsored poll; NYT data
Kentucky,KY,Public Policy Polling,Charles Booker,Democratic,2025-12-18,2025-12-19,Charles Booker,Andy Barr,38,49,R+11,Barr +11,yes,D-sponsored poll; NYT data
Kentucky,KY,Public Policy Polling,Charles Booker,Democratic,2025-12-18,2025-12-19,Charles Booker,Nate Morris,40,41,R+1,Morris +1,yes,D-sponsored poll; Morris surprisingly close; NYT data
Kentucky,KY,Public Policy Polling,Charles Booker,Democratic,2025-12-18,2025-12-19,Charles Booker,Generic R,36,50,R+14,Republican +14,no,D-sponsored poll; generic R ballot; NYT data
Kentucky,KY,Public Policy Polling,Charles Booker,Democratic,2025-12-18,2025-12-19,Amy McGrath,Generic R,35,51,R+16,Republican +16,no,D-sponsored poll; McGrath not running; generic R ballot
Massachusetts,MA,Suffolk University,Boston Globe,,2025-11-19,2025-11-23,Seth Moulton,John Deaton,52.0,29.0,D+23,D+23,yes,n=500 RV; NYT data
Massachusetts,MA,Cygnal Political,,Republican,2026-01-22,2026-01-25,Edward J. Markey,John Deaton,54.0,30.0,D+24,D+24,yes,n=800 LV; NYT data
Massachusetts,MA,University of New Hampshire,,,2026-02-12,2026-02-16,Seth Moulton,John Deaton,59.0,23.0,D+36,D+36,yes,n=611 LV; NYT data
Massachusetts,MA,University of New Hampshire,,,2026-04-16,2026-04-20,Seth Moulton,John Deaton,56.0,25.0,D+31,D+31,yes,n=600 LV; NYT data
Massachusetts,MA,Suffolk University,Boston Globe,,2026-06-08,2026-06-12,Seth Moulton,John Deaton,53.8,26.2,D+27.6,D+27.6,yes,n=500 rv; NYT data
Massachusetts,MA,Suffolk University,Boston Globe,,2026-06-08,2026-06-12,Edward J. Markey,John Deaton,55.0,29.8,D+25.2,D+25.2,yes,n=500 rv; NYT data
Massachusetts,MA,University of New Hampshire,,,2026-06-18,2026-06-23,Seth Moulton,John Deaton,50.0,30.0,D+20,D+20,yes,n=600 lv; NYT data
Massachusetts,MA,University of New Hampshire,,,2026-06-18,2026-06-23,Edward J. Markey,John Deaton,50.0,34.0,D+16,D+16,yes,n=618 lv; NYT data
Maine,ME,Public Policy Polling,,Democratic,2025-09-08,2025-09-09,Dan Kleban,Susan M. Collins,44.0,35.0,D+9,D+9,yes,n=642 RV; NYT data
Maine,ME,Zenith Research,More Perfect Union,,2025-10-07,2025-10-10,Graham Platner,Susan Collins,38,38,Even,Tied,yes,n=501 LV; NYT data
Maine,ME,University of New Hampshire,,,2025-10-16,2025-10-21,Dan Smeriglio,Susan M. Collins,1.0,66.0,R+65,R+65,yes,n=408 LV-R; NYT data
Maine,ME,Maine PRC,,,2025-10-26,2025-10-29,Graham Platner,Susan Collins,45,41,D+4,Platner +4,yes,n=783 RV; NYT data
Maine,ME,Maine People's Resource Center,,,2025-10-26,2025-10-29,Janet T. Mills,Susan M. Collins,41.7,45.8,R+4.1,R+4.1,yes,n=783 RV; NYT data
Maine,ME,Cygnal Political,Plymouth Union Public Advocacy,,2025-11-10,2025-11-11,Generic Democrat,Susan M. Collins,49.0,41.0,D+8,D+8,yes,n=600 LV; NYT data
Maine,ME,Pan Atlantic,,,2025-11-29,2025-12-07,Graham Platner,Susan Collins,43,42,D+1,Platner +1,yes,n=820 LV; NYT data
Maine,ME,Pan Atlantic SMS Group,,,2025-11-29,2025-12-07,Graham Platner,Susan M. Collins,43.0,42.0,D+1,D+1,yes,n=820 LV; NYT data
Maine,ME,Workbench Strategy,,Democratic,2025-12-11,2025-12-16,Graham Platner,Susan Collins,50,50,D+1,Platner +1,yes,n=900 LV; D-sponsored; NYT data
Maine,ME,Fabrizio Lee,Pine Tree Results,Republican,2026-01-20,2026-01-24,Graham Platner,Susan Collins,44,45,R+1,Collins +1,yes,n=800 LV; R-sponsored; NYT data
Maine,ME,"Fabrizio, Lee & Associates",Pine Tree Results,Republican,2026-01-20,2026-01-24,Janet T. Mills,Susan M. Collins,44.0,45.0,R+1,R+1,yes,n=800 LV; NYT data
Maine,ME,UNH,,,2026-02-12,2026-02-16,Graham Platner,Susan Collins,49,38,D+11,Platner +11,yes,n=1105 LV; NYT data
Maine,ME,University of New Hampshire,,,2026-02-12,2026-02-16,Graham Platner,Susan M. Collins,49.0,38.0,D+11,D+11,yes,n=1105 LV; NYT data
Maine,ME,Pan Atlantic,,,2026-02-13,2026-03-02,Graham Platner,Susan Collins,44,40,D+4,Platner +4,yes,n=810 LV; NYT data
Maine,ME,Pan Atlantic,,,2026-02-13,2026-03-02,Janet T. Mills,Susan Collins,44,44,Even,Tied,no,Mills matchup — included for context
Maine,ME,Pan Atlantic SMS Group,,,2026-02-13,2026-03-02,Graham Platner,Susan M. Collins,44.0,40.0,D+4,D+4,yes,n=810 LV; NYT data
Maine,ME,Quantus Insights,,,2026-03-03,2026-03-05,Graham Platner,Susan Collins,49,42,D+7,Platner +7,yes,n=800 LV; NYT data
Maine,ME,Quantus Insights,,,2026-03-03,2026-03-05,Janet T. Mills,Susan Collins,43,45,R+2,Collins +2,no,Mills matchup — included for context; Platner is stronger D option
Maine,ME,OnMessage Inc.,Insurance Watchdog Coalition,,2026-03-03,2026-03-08,Graham Platner,Susan Collins,44,42,D+2,Platner +2,yes,n=600 LV; NYT data
Maine,ME,Emerson College,,,2026-03-21,2026-03-23,Graham Platner,Susan Collins,48,41,D+7,Platner +7,yes,n=1075 LV; NYT data
Maine,ME,Emerson College,,,2026-03-21,2026-03-23,Janet T. Mills,Susan Collins,46,43,D+3,Mills +3,no,Mills matchup — included for context; Platner is stronger D option; NYT data
Maine,ME,Maine People's Resource Center,,,2026-03-20,2026-03-31,Graham Platner,Susan Collins,48,39,D+9,Platner +9,yes,n=1167 LV; NYT data
Maine,ME,Maine People's Resource Center,,,2026-03-20,2026-03-31,Janet T. Mills,Susan Collins,42,45,R+3,Collins +3,no,Mills matchup — included for context; Platner is stronger D option; NYT data
Maine,ME,Echelon Insights,NetChoice,,2026-04-03,2026-04-09,Janet T. Mills,Susan M. Collins,48.0,46.0,D+2,D+2,yes,n=378 LV; NYT data
Maine,ME,Pan Atlantic SMS Group,,,2026-05-08,2026-05-18,Graham Platner,Susan M. Collins,48.0,41.0,D+7,D+7,yes,n=827 LV; NYT data
Maine,ME,University of New Hampshire,,,2026-05-21,2026-05-25,Graham Platner,Susan M. Collins,51.0,42.0,D+9,D+9,yes,n=1250 lv; NYT data
Maine,ME,University of Massachusetts Lowell Center for Public Opinion/YouGov,,,2026-05-13,2026-05-26,Graham Platner,Susan M. Collins,48.0,43.0,D+5,D+5,yes,n=650 lv; NYT data
Maine,ME,"Fabrizio, Lee & Associates",Pine Tree Results,Republican,2026-06-01,2026-06-03,Graham Platner,Susan M. Collins,46.0,46.0,Even,Even,yes,n=800 lv; R-sponsored; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-06-02,2026-06-03,Graham Platner,Susan M. Collins,49.0,45.0,D+4,D+4,yes,n=670 rv; D-sponsored; NYT data
Maine,ME,Tavern Research,,,2026-06-05,2026-06-08,Generic Democrat,Susan M. Collins,55.0,45.0,D+10,D+10,no,n=1642 lv; generic ballot — excluded from named-candidate average; NYT data
Maine,ME,Tavern Research,,,2026-06-05,2026-06-08,Janet T. Mills,Susan M. Collins,52.0,48.0,D+4,D+4,yes,n=1642 lv; Mills matchup — included for context; NYT data
Maine,ME,Tavern Research,,,2026-06-05,2026-06-08,Graham Platner,Susan M. Collins,51.0,49.0,D+2,D+2,yes,n=1642 lv; NYT data
Maine,ME,Quantus Insights,,,2026-06-09,2026-06-11,Graham Platner,Susan M. Collins,46.0,45.0,D+1,D+1,yes,n=870 lv; NYT data
Maine,ME,Wick,2Way,,2026-06-11,2026-06-14,Graham Platner,Susan M. Collins,47.6,45.4,D+2.2,D+2.2,yes,n=1008 lv; NYT data
Maine,ME,University of New Hampshire,,,2026-07-15,2026-07-20,Troy Jackson,Susan M. Collins,49.0,46.0,D+3,D+3,yes,n=1178 lv; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-07-07,2026-07-07,Jordan Wood,Susan M. Collins,38.0,47.0,R+9,R+9,no,n=785 rv; Jordan Wood — not the D nominee; excluded; D-sponsored; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-07-07,2026-07-07,Janet T. Mills,Susan M. Collins,37.0,48.0,R+11,R+11,yes,n=785 rv; Mills matchup — included for context; D-sponsored; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-07-07,2026-07-07,Nirav Shah,Susan M. Collins,45.0,45.0,Even,Even,no,n=785 rv; Nirav Shah — not the D nominee; excluded; D-sponsored; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-07-07,2026-07-07,Shenna Bellows,Susan M. Collins,47.0,47.0,Even,Even,no,n=785 rv; Shenna Bellows — not the D nominee; excluded; D-sponsored; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-07-07,2026-07-07,Troy Jackson,Susan M. Collins,49.0,44.0,D+5,D+5,yes,n=785 rv; D-sponsored; NYT data
Maine,ME,Public Policy Polling,,Democratic,2026-07-07,2026-07-07,Graham Platner,Susan M. Collins,42.0,47.0,R+5,R+5,no,n=785 rv; Platner no longer D nominee (Jackson is) — excluded from current average; D-sponsored; NYT data
Maine,ME,Wedgewood Polls,,,2026-07-04,2026-07-06,Janet T. Mills,Susan M. Collins,47.0,47.0,Even,Even,yes,n=405 lv; Mills matchup — included for context; NYT data
Maine,ME,Wedgewood Polls,,,2026-07-04,2026-07-06,Troy Jackson,Susan M. Collins,48.0,43.0,D+5,D+5,yes,n=405 lv; NYT data
Maine,ME,Wedgewood Polls,,,2026-07-04,2026-07-06,Graham Platner,Susan M. Collins,46.0,50.0,R+4,R+4,no,n=405 lv; Platner no longer D nominee (Jackson is) — excluded from current average; NYT data
Maine,ME,Tavern Research,,,2026-07-03,2026-07-06,Graham Platner,Susan M. Collins,52.0,48.0,D+4,D+4,no,n=1074 lv; Platner no longer D nominee (Jackson is) — excluded from current average; NYT data
Maine,ME,Beacon Research/Shaw & Company Research,Fox News,,2026-06-23,2026-06-27,Graham Platner,Susan M. Collins,47.0,50.0,R+3,R+3,yes,n=1003 rv; NYT data
Maine,ME,The New York Times/Siena University,Portland Press Herald,,2026-06-19,2026-06-26,Graham Platner,Susan M. Collins,49.2,47.02,D+2.2,D+2.2,yes,n=608 lv; NYT data
